9571991,19980401,article,mesh,"Animals,Biotransformation,Carcinogens,Cell Death,Cell Separation,Cells, Cultured,Chloroform,Cytochrome P-450 Enzyme Inhibitors,Dithiothreitol,Glutathione,Imidazoles,Liver,Male,Mice,Oxidative Stress,Rats,Rats, Inbred F344,Solvents,Sulfhydryl Reagents","analysis,drug effects,pathology,pharmacology,toxicity","D008099 Q000187 NY,D008099 Q000473 NN,D007093 Q000494 NN,D002273 Q000633 NY,D016923 Q000187 NN,D002725 Q000633 NY,D012997 Q000633 NN,D005978 Q000032 NN","6212,19001,81595,124886,439196,446094",NULL,Chloroform-induced cytolethality in freshly isolated male B6C3F1 mouse and F-344 rat hepatocytes.,Chloroform is carcinogenic in rodents but is not mutagenic or DNA reactive. Chloroform-induced hepatocarcinogenesis in rodents is believed to be secondary to events associated with cytotoxicity and cell proliferation. Understanding the mechanisms of chloroform toxicity may provide insights into the mechanisms of carcinogenicity. The goal of these studies was to characterize the cytotoxicity of chloroform in male B6C3F1 mouse and F-344 rat hepatocytes in vitro. We used an in vitro suspension-culture system t,Toxicology and applied pharmacology,"P Ammann, C L Laethem, G L Kedderis"," Chemical Industry Institute of Toxicology, Research Triangle Park, North Carolina 27709-2137, USA.",1998 Apr;149(2):217-25,10.1006/taap.1997.8351
20673058,20100801,article,"xref,mesh","Animals,Anti-Inflammatory Agents,Cell Line, Tumor,Cyclooxygenase 2,Cytokines,Inflammation,Lipopolysaccharides,Macrophages,Mice,Nitric Oxide,Nitric Oxide Synthase Type II,Plant Extracts,Plant Leaves,Taraxacum","chemistry,drug effects,drug therapy,enzymology,immunology,pharmacology","D009569 Q000276 NN,D008264 Q000201 NN,D007249 Q000188 NN,D016207 Q000276 NN,D008264 Q000276 NN,D000893 Q000494 NY,D010936 Q000276 NN,D008070 Q000276 NN,D007249 Q000276 NY,D051546 Q000276 NN,D008264 Q000187 NN,D052247 Q000276 NN,D010936 Q000494 NY,D007249 Q000201 NN,D031205 Q000737 NY,D000893 Q000276 NN,D008070 Q000494 NY,D018515 Q000737 NN","6212,8857,145068","128047904,129677094",Anti-inflammatory effect of Taraxacum officinale leaves on lipopolysaccharide-induced inflammatory responses in RAW 264.7 cells.,"To investigate the efficacy and the mechanism of the anti-inflammatory effect of Taraxacum officinale leaves (TOLs), the effect of a methanol extract and its fractions recovered from TOLs on lipopolysaccharide (LPS)-induced responses was studied in the mouse macrophage cell line, RAW 264.7. Cells were pretreated with various concentrations of the methanol extract and its fractions and subsequently incubated with LPS (1 microg/mL). The levels of nitric oxide (NO), prostaglandin (PG) E(2), and pro-inflammator",Journal of medicinal food,"Yoon-Jeoung Koh, Dong-Soo Cha, Je-Sang Ko, Hyun-Jin Park, Hee-Don Choi"," Research Division for Food Industry Platform Technology, Korea Food Research Institute, Seongnam, Republic of Korea.",2010 Aug;13(4):870-8,10.1089/jmf.2009.1249
20800670,20101111,article,"xref,mesh","Animals,Anti-Inflammatory Agents,Apocynaceae,Carrageenan,Edema,Female,Inflammation,Lethal Dose 50,Macrophages,Male,Medicine, Ayurvedic,Mice,Nitric Oxide,Phytotherapy,Plant Extracts,Plant Leaves,Rats","analysis,chemically induced,drug effects,drug therapy,pharmacology,toxicity","D000893 Q000494 NY,D010936 Q000633 NN,D007249 Q000139 NN,D009569 Q000032 NN,D000893 Q000633 NN,D004487 Q000188 NN,D008264 Q000187 NN,D010936 Q000494 NY,D007249 Q000188 NY","6212,145068,11966249",128047904,Anti-inflammatory effect of a methanolic extract of leaves of Dregea volubilis.,AIM OF STUDY: The aim of this study was to establish the anti-inflammatory activity of the methanolic extract of Dregea volubilis leaves (MEDV) with its fractions and to delineate the possible mechanism of action for MEDV. MATERIALS AND METHODS: The anti-inflammatory activities of MEDV along with its petroleum ether and chloroform fractions were evaluated in a carrageenan induced model of acute inflammation. The effect of MEDV on lipopolysaccharide induced production of nitric oxide (NO) in macrophages was ,Journal of ethnopharmacology,"Emdad Hossain, Debjani Sarkar, Anup Maiti, Mitali Chatterjee, Subhash C Mandal, Jayanta Kumar Gupta"," Pharmacy College, Itaura, Chandeshwar, Azamgarh 276128, Uttar Pradesh, India. hossainemdad@yahoo.com",2010 Nov;132(2):525-8,10.1016/j.jep.2010.08.043
20829009,20120301,article,xref,"Animals,Antioxidants,Flavonoids,Free Radical Scavengers,Fumaria,Iron Chelating Agents,Liver,Male,Oxidative Stress,Phenols,Phytotherapy,Plant Extracts,Rats,Rats, Sprague-Dawley","chemistry,drug effects,methods,pharmacology","D008099 Q000187 NY,D018384 Q000187 NN,D010636 Q000737 NN,D008517 Q000379 NN,D005419 Q000737 NN,D007502 Q000494 NN,D010936 Q000737 NY,D010936 Q000494 NY,D016166 Q000494 NN,D031312 Q000737 NY,D000975 Q000494 NY,D010636 Q000494 NN,D000975 Q000737 NY,D005419 Q000494 NN","702,996,1188,6212,8857","128047904,128215673,128482492,128530096,129677094",Antioxidant and hepatoprotective activity appraisal of four selected Fumaria species and their total phenol and flavonoid quantities.,"Fumaria species (Fumariaceae) have been recorded to be used traditionally against liver-related disorders in many countries including Turkey. Oxidative stress is also known to be strongly associated with hepatic problems. Consequently, in the current study, the ethanol extracts of four Fumaria species; F. cilicica Hausskn., F. densiflora DC., F. kralikii Jordan and F. parviflora Lam. growing in Turkey were initially screened for their in vitro antioxidant activities by three methods; 2,2-diphenyl-1-picrylhy",Experimental and toxicologic pathology : official journal of the Gesellschaft fur Toxikologische Pathologie,"Ilkay Erdogan Orhan, Bilge Şener, Syed Ghulam Musharraf"," Department of Pharmacognosy, Faculty of Pharmacy, Gazi University, 06330 Ankara, Turkey. iorhan@gazi.edu.tr",2012 Mar;64(3):205-9,10.1016/j.etp.2010.08.007
21251970,20110714,article,"xref,mesh","Animals,Anti-Inflammatory Agents,Apigenin,Cell Line,Dose-Response Relationship, Drug,Extracellular Signal-Regulated MAP Kinases,Flavones,Flavonoids,Inflammation,Intracellular Signaling Peptides and Proteins,JNK Mitogen-Activated Protein Kinases,Lipopolysaccharides,Luteolin,Macrophages,Mice,Nitric Oxide,Nitric Oxide Synthase Type II,Phytotherapy,Plant Extracts,Protein-Tyrosine Kinases,RNA, Messenger,Rhizome,Syk Kinase,Tumor Necrosis Factor-alpha,Zingiberaceae","antagonists &amp; inhibitors,biosynthesis,chemistry,drug effects,drug therapy,genetics,isolation &amp; purification,metabolism,pharmacology,therapeutic use","D007249 Q000378 NN,D007249 Q000188 NN,D010936 Q000737 NN,D000893 Q000494 NY,D047311 Q000494 NN,D047310 Q000494 NN,D008264 Q000378 NN,D014409 Q000378 NN,D047309 Q000302 NN,D005419 Q000302 NN,D011505 Q000037 NN,D010936 Q000627 NN,D052247 Q000378 NY,D047311 Q000627 NN,D030521 Q000737 NY,D047311 Q000302 NN,D000893 Q000302 NN,D008264 Q000187 NN,D048049 Q000378 NN,D000893 Q000627 NN,D047310 Q000302 NN,D010936 Q000494 NY,D048031 Q000378 NN,D012333 Q000378 NN,D052247 Q000235 NN,D047908 Q000037 NN,D005419 Q000627 NN","6057,6212,88881,145068,5280443,5280445,122603537,123633794","128047904,128206177,128316027,128457242,128865459,325394186,327899159",Suppressive effects of methoxyflavonoids isolated from Kaempferia parviflora on inducible nitric oxide synthase (iNOS) expression in RAW 264.7 cells.,"ETHNOPHARMACOLOGICAL RELEVANCE: The rhizomes of Kaempferia parviflora Wall. ex Baker have been traditionally used in Thailand to treat abscesses, gout, and peptic ulcers. AIM: Previously, we reported that the chloroform fraction of a Kaempferia parviflora extract had an inhibitory effect on rat paw-edema. In the present study, we isolated the constituents of this fraction and investigated the anti-inflammatory mechanism against nitric oxide (NO) production, tumor necrosis factor-α (TNF-α) and the expression",Journal of ethnopharmacology,"Chutha Sae-Wong, Hisashi Matsuda, Supinya Tewtrakul, Pimpimon Tansakul, Seikou Nakamura, Yukiko Nomura, Masayuki Yoshikawa"," Faculty of Pharmaceutical Sciences, Prince of Songkla University, Songkhla, Thailand.",2011 Jul;136(3):488-95,10.1016/j.jep.2011.01.013
21911048,20111031,article,xref,"Acetylcholinesterase,Alpinia,Alzheimer Disease,Amnesia,Amyloid beta-Peptides,Animals,Antioxidants,Behavior, Animal,Brain,Cell Membrane,Cognition,Disease Models, Animal,Enzyme Inhibitors,Male,Maze Learning,Memory,Mice,Neuroprotective Agents,Nootropic Agents,Oxidative Stress,Phytotherapy,Plant Extracts,Rhizome,Sodium-Potassium-Exchanging ATPase","drug effects,drug therapy,metabolism,pathology,pharmacology,therapeutic use","D002462 Q000473 NN,D000110 Q000378 NN,D010936 Q000494 NN,D000647 Q000188 NY,D018384 Q000187 NN,D018696 Q000494 NN,D010936 Q000627 NN,D004791 Q000627 NN,D000975 Q000494 NN,D001921 Q000187 NN,D000544 Q000473 NN,D000544 Q000378 NN,D000544 Q000188 NY,D001921 Q000378 NN,D001921 Q000473 NN,D001522 Q000187 NN,D018696 Q000627 NN,D002462 Q000187 NN,D003071 Q000187 NY,D000254 Q000378 NN,D000647 Q000378 NN,D000975 Q000627 NY,D018697 Q000627 NN,D004791 Q000494 NN,D008568 Q000187 NY,D000647 Q000473 NN,D018697 Q000494 NN","6212,8058,8857","128047904,129491807,129677094",Neuroprotective effect of Alpinia galanga (L.) fractions on Aβ(25-35) induced amnesia in mice.,"ETHNOPHARMACOLOGICAL RELEVANCE: The rhizomes of Alpinia galanga (L.) Willd (Zingiberaceae), a ginger substitute for flavouring food was traditionally used as nervine tonic and stimulant. AIM OF THE STUDY: This investigation is designed to screen cognitive improvement of Alpinia galanga (AG) fractions in Alzheimer's type of amnesia in mice induced by Aβ((25-35)). MATERIALS AND METHODS: Alzheimer's disease induced mice treated with fractions (n-hexane, chloroform and ethyl acetate) of AG in 200 and 400mg/kg. ",Journal of ethnopharmacology,"J C Hanish Singh, V Alagarsamy, Prakash V Diwan, S Sathesh Kumar, J C Nisha, Y Narsimha Reddy"," Department of Pharmacology, Lalitha College of Pharmacy, Ghatkesar, Gr. Hyderabad, Andhra Pradesh 501301, India.",2011 Oct;138(1):85-91,10.1016/j.jep.2011.08.048
22928836,20120101,article,mesh,"Agaricus,Animals,Anti-Allergic Agents,Anti-Inflammatory Agents,Biological Products,Bone Marrow Cells,Calcimycin,Cell Degranulation,Down-Regulation,Female,Inflammation,Interleukin-6,Leukotriene C4,Mast Cells,Mice,Mice, Inbred BALB C,Phosphorylation,Phytotherapy,Prostaglandin D2,Proto-Oncogene Proteins c-akt,Tetradecanoylphorbol Acetate,beta-N-Acetylhexosaminidases","biosynthesis,drug effects,drug therapy,metabolism,pharmacology,therapeutic use","D007249 Q000378 NN,D001688 Q000627 NY,D013755 Q000494 NN,D017997 Q000378 NN,D001688 Q000494 NN,D001854 Q000187 NN,D018926 Q000494 NN,D015850 Q000096 NY,D015230 Q000378 NN,D008407 Q000187 NY,D018926 Q000627 NY,D000001 Q000494 NN,D001619 Q000378 NN,D001854 Q000378 NN,D015550 Q000187 NN,D007249 Q000188 NY,D051057 Q000378 NN,D000893 Q000494 NN,D008407 Q000378 NN,D000893 Q000627 NY","1959,4792,27924,40486,448457,5280493,5283121,11957499,16759513,25245603",NULL,Anti-inflammatory and anti-allergic effect of Agaricus blazei extract in bone marrow-derived mast cells.,"In this study, the anti-inflammatory and anti-allergic effects of the chloroform-soluble extract of Agaricus blazei in mouse bone marrow-derived mast cells (BMMCs) were investigated. The chloroform-soluble extract inhibited IL-6 production in PMA plus A23187-stimulated BMMCs, and down-regulated the phosphorylation of Akt. In addition, this extract demonstrated inhibition of the degranulation of β-hexosaminidase and the production of IL-6, prostaglandin D(2) and leukotriene C(4) in PMA plus A23187-induced BM",The American journal of Chinese medicine,"Hyuk-Hwan Song, Hee-Sung Chae, Sei-Ryang Oh, Hyeong-Kyu Lee, Young-Won Chin"," Immune Modulator Research Center, Bio-Therapeutics Research Institute, Korea Research Institute of Bioscience and Biotechnology, ChungBuk,  Korea.",2012 Jan;40(5):1073-84,10.1142/s0192415x12500796
23678652,20121201,article,mesh,"Animals,Antineoplastic Agents,Calcium,Cell Death,Connaraceae,Dose-Response Relationship, Drug,Drug Design,Liver,Male,Mitochondria, Liver,Mitochondrial Membrane Transport Proteins,Mitochondrial Membranes,Permeability,Plant Extracts,Plant Leaves,Proton-Translocating ATPases,Rats,Rats, Wistar,Spermine","drug effects,metabolism,pharmacology","D051336 Q000378 NN,D013096 Q000494 NN,D016923 Q000187 NN,D008930 Q000378 NY,D008099 Q000378 NN,D010936 Q000494 NY,D033681 Q000378 NY,D002118 Q000378 NN,D010539 Q000187 NY,D006180 Q000378 NY","1103,5460341,6337033",NULL,Modulation of opening of rat liver mitochondrial membrane permeability transition pore by different fractions of the leaves of Cnestis ferruginea. D.C.,"BACKGROUND: Increased attention is now directed towards the search for novel naturally occurring anticancer agents that can induce mitochondrial membrane permeability transition (MMPT) pore opening and cell death as a chemotherapeutic mechanism to combat cancer incidence. AIM: The inductive effects of partially purified fractions of leaves of Cnestis ferruginea- on rat liver MMPT pore opening was investigated. METHOD: De-fatted methanol extract of leaves of Cnestis ferruginea was partitioned between water, ",African journal of medicine and medical sciences,"R A Adisa, T D Alabi, O O Olorunsogo"," Laboratories for Biomembrane Research and Biotechnology, Department of Biochemistry, College of Medicine, University of Ibadan, Ibadan, Nigeria.",2012 Dec;?(?):157-69,NULL
23787284,20130601,article,mesh,"Antineoplastic Agents, Phytogenic,Apoptosis,Cell Proliferation,Cell Survival,Hep G2 Cells,Humans,Neoplasms,Oxidative Stress,Plant Extracts,Plant Leaves,Zea mays","chemistry,drug effects,isolation &amp; purification,metabolism,pharmacology,physiopathology","D009369 Q000503 NN,D017209 Q000187 NN,D002470 Q000187 NN,D010936 Q000302 NN,D000972 Q000494 NY,D003313 Q000737 NY,D049109 Q000187 NN,D018384 Q000187 NY,D010936 Q000494 NY,D000972 Q000302 NN,D018515 Q000737 NN,D009369 Q000378 NY",NULL,NULL,Anticancer activity of Zea mays leaf extracts on oxidative stress-induced Hep2 cells.,"Cancer is one of the leading causes of death in humans. It is believed that plants can provide potential bioactive compounds for the development of ""new leads"" to combat cancer and other diseases. The present study focuses on the ability of the different extracts (aqueous, methanol, and chloroform) of the leaves of Zea mays in influencing the process of apoptosis induced by hydrogen peroxide (H2O2) in Hep2 (laryngeal carcinoma) cells. Various apoptosis-related parameters, such as cell viability, morphologic",Journal of acupuncture and meridian studies,"Kiruthika Balasubramanian, Palghat Raghunathan Padma"," Department of Biochemistry, Biotechnology and Bioinformatics, Avinashilingam Deemed University, Tamil Nadu, India.",2013 Jun;6(3):149-58,10.1016/j.jams.2013.01.015
24163958,20120401,article,mesh,"Animals,Antioxidants,Artemia,Biphenyl Compounds,Caesalpinia,Fruit,Lethal Dose 50,Nitrous Oxide,Phenols,Phytotherapy,Picrates,Plant Extracts,Plants, Medicinal,Solvents","chemistry,drug effects,isolation &amp; purification,pharmacology,toxicity","D010936 Q000737 NN,D010936 Q000633 NN,D010936 Q000302 NN,D010636 Q000737 NN,D001156 Q000187 NN,D010636 Q000302 NN,D000975 Q000302 NN,D000975 Q000633 NN,D009609 Q000737 NN,D010851 Q000737 NN,D012997 Q000737 NN,D001713 Q000737 NN,D010936 Q000494 NY,D000975 Q000737 NN,D000975 Q000494 NY,D029911 Q000737 YN,D010636 Q000633 NN,D010636 Q000494 NY","948,2735032",NULL,"In vitro antioxidant activity, phytochemical screening, cytotoxicity and total phenolic content in extracts of Caesalpinia pulcherrima (Caesalpiniaceae) pods.","Caesalpinia pulcherrima L. Swartz (Caesalpiniaceae) is an ornamental plant also used as a common medicinal plant in India, Taiwan and South-East Asian countries. Majority of the diseases/disorders are mainly linked to oxidative stress due to free radicals. The aims of this study were to screen for phytochemical constituents, evaluate cytotoxicity, in vitro antioxidant activity and estimation of total phenolic content of extracts of pods of Caesalpinia pulcherrima. Phytochemical analysis revealed the presenc",Pakistan journal of biological sciences : PJBS,"M R Kumbhare, T Sivakumar, P B Udavant, A S Dhake, A R Surana"," Department of Pharmaceutical Chemistry, SMBT College of Pharmacy, Nandihills, Dhamangaon, Igatpuri, Nashik 422403, India.",2012 Apr;15(7):325-32,10.3923/pjbs.2012.325.332
24547933,20140401,article,mesh,"Agaricales,Anti-Inflammatory Agents,Antioxidants,Basidiomycota,Benzothiazoles,Biological Products,Biphenyl Compounds,Cell Line,Coumaric Acids,Flavonoids,Gentisates,Humans,Inflammation,Lipoproteins, LDL,Nitric Oxide,Nitric Oxide Synthase Type II,Parabens,Phenols,Picrates,Propionates,Sulfonic Acids","analysis,chemistry,drug therapy,metabolism,pharmacology","D007249 Q000378 NN,D007249 Q000188 NN,D052160 Q000378 NN,D052247 Q000378 NN,D010226 Q000494 NN,D000893 Q000494 NY,D001688 Q000494 NY,D005419 Q000494 NY,D005841 Q000494 NN,D013451 Q000378 NN,D005841 Q000032 NN,D010851 Q000378 NN,D008077 Q000378 NN,D003373 Q000032 NN,D001487 Q000737 NY,D009569 Q000378 NN,D001688 Q000737 NN,D001713 Q000378 NN,D010636 Q000032 NN,D010226 Q000032 NN,D000975 Q000032 NN,D000975 Q000494 NY,D003373 Q000494 NN,D005419 Q000032 NN,D000893 Q000032 NN,D010636 Q000494 NY","135,3469,35687,35688,145068,637542,2735032,5280535,5360881,5464076,6301202,6871216,9570474,16240279,53442174,54675830,54675839,55251260,76848883",NULL,Antioxidant and anti-inflammatory activities of methanol extracts of Tremella fuciformis and its major phenolic acids.,"Methanol extract subfractions of the edible white jelly mushroom (Tremella fuciformis), were assessed for the following antioxidant properties: ABTS(+) radical scavenging activity, 1,1-diphenyl-2-picrylhydrazyl (DPPH) radical scavenging activity, and inhibitory activity of human low-density lipoprotein (LDL) oxidation. Among the subfractions tested, the chloroform subfraction exhibited the strongest antioxidant activity, with the highest total phenolic content (66.31 μg CAE/mg extract) and flavonoids conten",Journal of food science,"Hua Li, Hee-Seok Lee, Su-Hwan Kim, BoKyung Moon, Chan Lee"," Dept. of Food Science and Technology, Chung-Ang Univ., Gyeonggi, 456-756, South Korea.",2014 Apr;79(4):C460-8,10.1111/1750-3841.12393
