17655273,20070901,article,"xref,mesh","Acrolein,Amino Acid Sequence,Binding Sites,Enzyme Activation,Humans,Kinetics,Molecular Sequence Data,Protein Tyrosine Phosphatase, Non-Receptor Type 1,Spectrometry, Mass, Electrospray Ionization,Structure-Activity Relationship,Time Factors",chemistry,"D054562 Q000737 NY,D000171 Q000737 NY","177,527,5862,6057,7847,7860,20138,30819,61020,61671,54499104","53789692,53790718,127716469,128056944,128180287,128478271,128614243,128676645,128865459,129225032,129742316,129770500",Kinetics and mechanism of protein tyrosine phosphatase 1B inactivation by acrolein.,"Human cells are exposed to the electrophilic alpha,beta-unsaturated aldehyde acrolein from a variety of sources. The reaction of acrolein with functionally critical protein thiol residues can yield important biological consequences. Protein tyrosine phosphatases (PTPs) are an important class of cysteine-dependent enzymes whose reactivity with acrolein previously has not been well-characterized. These enzymes catalyze the dephosphorylation of phosphotyrosine residues on proteins via a phosphocysteine interme",Chemical research in toxicology,"Derrick R Seiner, Jason N LaButti, Kent S Gates"," Department of Chemistry, University of Missouri, Columbia, MO 65211, USA. gatesk@missouri.edu",2007 Sep;20(9):1315-20,10.1021/tx700213s
11788155,20020125,article,"xref,mesh","Acrolein,Annexin A5,Antioxidants,Ascorbic Acid,Bronchi,Cell Survival,Cells, Cultured,DNA Fragmentation,Epithelial Cells,Flow Cytometry,Fluorescein-5-isothiocyanate,Fluorescent Dyes,Glutathione,Humans,In Situ Nick-End Labeling,Oxidants,Vitamin E","antagonists &amp; inhibitors,cytology,drug effects,metabolism,pharmacology,toxicity","D004847 Q000187 NY,D002470 Q000187 NN,D001205 Q000494 NY,D014810 Q000494 NY,D053938 Q000187 NN,D017304 Q000378 NN,D001980 Q000187 NN,D000171 Q000037 NY,D016877 Q000378 NN,D005978 Q000378 NN,D000171 Q000633 NY,D000975 Q000494 NY,D001980 Q000166 NY","7847,14985,18730,124886,5176753,6323481,23667548,54670067,54682511,86763295,101033550","128011809,128056944,128423325,128596404,129192846,245283296",Acrolein-induced cytotoxicity in cultured human bronchial epithelial cells. Modulation by alpha-tocopherol and ascorbic acid.,"Acrolein is a highly reactive unsaturated hazardous air pollutant of human health concern, particularly as a component of cigarette smoke. In this study, the mechanisms of acrolein-induced cytotoxicity in human bronchial epithelial cells (HBE1) and the modulating effects of antioxidants were examined. Our results show that acrolein induces a cell death pathway in human bronchial epithelial cells, which retain key features of apoptosis, as indicated by phosphatidylserine (PS) externalization and DNA fragment",Toxicology,"Mirella Nardini, E I Finkelstein, S Reddy, G Valacchi, M Traber, C E Cross, A van der Vliet"," Istituto Nazionale di Ricerca per gli Alimenti e la Nutrizione, Via Ardeatina 546, 00178, Rome, Italy. nardini@inran.it",2002 Jan;170(3):173-85,10.1016/s0300-483x(01)00540-6
15209416,20040601,article,"xref,mesh","Acrolein,Animals,Antioxidants,Axons,Cell Membrane,Ethidium,Female,Fluorescent Dyes,Guinea Pigs,Horseradish Peroxidase,L-Lactate Dehydrogenase,Lipid Peroxidation,Mitochondria,Oxidative Stress,Spinal Cord,Spinal Cord Injuries,Synaptosomes,Tetrazolium Salts,Thiazoles","drug effects,metabolism,pathology,pharmacology,toxicity","D002462 Q000473 NN,D013119 Q000473 NY,D001369 Q000473 NY,D013574 Q000187 NN,D000975 Q000494 NN,D007770 Q000378 NN,D015227 Q000187 NN,D018384 Q000187 NY,D002462 Q000187 NN,D008928 Q000473 NY,D000171 Q000633 NY,D013116 Q000473 NY,D013574 Q000473 NN","612,3624,7847,9256,14710,64965,64966,67519","128056944,128334455,128392536,129071090,129401397","Acrolein induces axolemmal disruption, oxidative stress, and mitochondrial impairment in spinal cord tissue.","Acrolein, a byproduct of oxidative stress and lipid peroxidation, has been implicated in neurodegenerative disorders such as Alzheimer's disease, but not in spinal cord trauma, as a possible key factor in neuronal degeneration. Using an isolated guinea pig spinal cord model, we have found that acrolein, in a dose- and time-dependent manner, inflicts severe membrane disruption, a factor thought to be critical in triggering axonal deterioration and cell death. The concentration threshold of such detrimental e",Neurochemistry international,"Jian Luo, Riyi Shi"," Department of Basic Medical Sciences, Center for Paralysis Research, Institute for Applied Neurology, School of Veterinary Medicine, Purdue University, West Lafayette, IN 47907, USA.",2004 Jun;44(7):475-86,10.1016/j.neuint.2003.09.006
18048804,20080401,article,"xref,mesh","Acrolein,Bronchi,Cells, Cultured,Enzyme Induction,Enzyme Inhibitors,Epithelial Cells,Heme Oxygenase-1,Humans,MAP Kinase Signaling System,NF-E2-Related Factor 2,Phosphatidylinositol 3-Kinases,Protein Kinase C-delta,RNA, Small Interfering,Transcription, Genetic","antagonists &amp; inhibitors,biosynthesis,cytology,drug effects,enzymology,genetics,metabolism,pharmacology","D019869 Q000037 NN,D051547 Q000096 NY,D004847 Q000187 NN,D019869 Q000378 NY,D000171 Q000494 NY,D051267 Q000378 NN,D001980 Q000187 NN,D004847 Q000201 NY,D004790 Q000187 NN,D051745 Q000378 NY,D051547 Q000235 NN,D001980 Q000201 NY,D004791 Q000494 NN,D020935 Q000187 NN,D014158 Q000187 NN,D001980 Q000166 NY,D051745 Q000037 NN","3973,5083,5103,7847,44259,312145,5281847","53787626,53789304,53789644,53789920,53789987,53790718,128056944,129006930,136089761,376229535",Acrolein induces heme oxygenase-1 through PKC-delta and PI3K in human bronchial epithelial cells.,"Heme oxygenase-1 (HO-1) catalyzes the rate limiting reaction of heme metabolism and plays critical roles in resistance to oxidative stress and other cellular functions. It is well known that HO-1 is induced in response to various stresses; however, the signaling pathways involved remain incompletely elucidated. Acrolein is an alpha,beta-unsaturated aldehyde present in cigarette smoke and also a product of lipid peroxidation. In this investigation we studied HO-1 induction in response to acrolein and determi",American journal of respiratory cell and molecular biology,"Hongqiao Zhang, Henry Jay Forman"," School of Natural Sciences, University of California, Merced, P.O. Box 2039, Merced, CA 95340, USA.",2008 Apr;38(4):483-90,10.1165/rcmb.2007-0260oc
18206177,20080213,article,"xref,mesh","Acrolein,Antithrombins,Cysteine,Dose-Response Relationship, Drug,Electrophoresis, Polyacrylamide Gel,Homocysteine,Humans,Plasminogen,Time Factors","analogs &amp; derivatives,drug effects,pharmacology","D003545 Q000494 NY,D000171 Q000494 NY,D006710 Q000494 NN,D010958 Q000187 NN,D000991 Q000187 NY,D006710 Q000031 NY","594,778,2146,5862,7847,25150,91552,92851,134505,439224,53395091","127663464,127838534,128032796,128056944,128388789,129742316",Antithrombin activity is inhibited by acrolein and homocysteine thiolactone: Protection by cysteine.,"Conditions in which serum or tissue acrolein levels are high (e.g.: renal failure, heavy smoking, oxidative stress) are also associated with increased thrombogenicity. Another emerging cardiovascular risk factor is homocysteine, and its derivative, homocysteine thiolactone. Antithrombin is one of the most important inhibitors of blood coagulation Since its activation by heparin binding requires critical interactions involving 3 Lys residues; we hypothesized that acrolein or homocysteine thiolactone impair a",Life sciences,Alejandro Gugliucci," Glycation, Oxidation and Disease Laboratory, Division of Basic Medical Sciences, Touro University-California, Mare Island Building H-83, 1310, Johnson Lane, Vallejo, CA 94592, USA. agugliuc@touro.edu",2008 Feb;82(?):413-8,10.1016/j.lfs.2007.11.023
18404534,20080401,article,"xref,mesh","Acrolein,Cell Line, Tumor,Cell Survival,Comet Assay,Cross-Linking Reagents,DNA Damage,Deoxyguanosine,Electrophoresis,Endopeptidase K,Fluoresceins,Glutathione,Humans,Oxidative Stress,Reactive Oxygen Species,o-Phthalaldehyde","analogs &amp; derivatives,metabolism,pharmacology","D000171 Q000494 NY,D005452 Q000494 NN,D019286 Q000494 NN,D003849 Q000378 NN,D009764 Q000494 NN,D005978 Q000378 NN,D003432 Q000494 NN,D003849 Q000031 NN","4807,7847,73318,104913,124886,187790,10292443,22149978,135398592,135440064","127985167,128039096,128056944,128465496,129192846,129806984,129965029",The role of oxidative stress in acrolein-induced DNA damage in HepG2 cells.,"This study evaluated the role of oxidative stress in acrolein-induced DNA damage, using HepG2 cells. Using the standard single cell gel electrophoresis (SCGE) assay, a significant dose-dependent increment in DNA migration was detected at lower concentrations of acrolein; but at the higher tested concentrations, a reduction in the migration was observed. Post-incubation with proteinase K significantly increased DNA migration in cells exposed to higher concentrations of acrolein. These results indicated that ",Free radical research,"Longjie Li, Liping Jiang, Chengyan Geng, Jun Cao, Laifu Zhong"," Department of Toxicology, Dalian Medical University, No. 9, West Segment of South lushun Road, Lushunkou District, Dalian 116044, Liaoning, PR China.",2008 Apr;42(4):354-61,10.1080/10715760802008114
18515264,20080901,article,"xref,mesh","Acrolein,Animals,Apoptosis,Cell Separation,Epithelial Cells,Gene Expression Profiling,Interleukin-18,Lung,Macrophages,Mice,Mice, Inbred C57BL,Mucin 5AC,Mucins,Oligonucleotide Array Sequence Analysis,Receptors, Antigen, T-Cell, alpha-beta,Receptors, Antigen, T-Cell, gamma-delta,T-Lymphocytes","analysis,drug effects,immunology,pathology,physiology,toxicity","D008264 Q000502 NN,D013601 Q000502 NY,D008168 Q000276 NN,D017209 Q000187 NN,D004847 Q000187 NN,D008168 Q000473 NN,D020382 Q000502 NN,D016692 Q000502 NY,D004847 Q000473 NN,D009077 Q000032 NN,D008264 Q000187 NN,D000171 Q000633 NY,D016693 Q000502 NY,D008168 Q000187 NY",7847,"53790718,128056944",Nonredundant functions of alphabeta and gammadelta T cells in acrolein-induced pulmonary pathology.,"Acrolein exposure represents a significant human health hazard. Repeated acrolein exposure causes the accumulation of monocytes/macrophages and lymphocytes, mucous cell metaplasia, and epithelial injury. Currently, the mechanisms that control these events are unclear, and the relative contribution of T-cell subsets to pulmonary pathologies following repeated exposures to irritants is unknown. To examine whether lymphocyte subpopulations regulate inflammation and epithelial cell pathology, we utilized a mous",Toxicological sciences : an official journal of the Society of Toxicology,"Michael T Borchers, Scott C Wesselkamper, Bryan L Eppert, Gregory T Motz, Maureen A Sartor, Craig R Tomlinson, Mario Medvedovic, Jay W Tichelaar"," Division of Environmental Genetics and Molecular Toxicology, Department of Environmental Health, University of Cincinnati College of Medicine, Cincinnati, OH 45267-0056, USA. michael.borchers@uc.edu",2008 Sep;105(1):188-99,10.1093/toxsci/kfn106
20006585,20100108,article,"xref,mesh","Acrolein,Amino Acid Sequence,Biomarkers,Brain Infarction,Humans,Lysine,Molecular Sequence Data,Oxidative Stress,Protein Structure, Tertiary,Serum Albumin,Tandem Mass Spectrometry","blood,chemistry,metabolism","D015415 Q000737 NN,D000171 Q000378 NY,D008239 Q000378 NN,D020520 Q000097 NY,D012709 Q000378 NY,D000171 Q000737 NN,D008239 Q000737 NN,D015415 Q000378 NN,D012709 Q000737 NN","866,5962,7847,12047,69568,104152,641599","128056944,128368393",Identification of acrolein-conjugated protein in plasma of patients with brain infarction.,"It is known that the level of protein-conjugated acrolein in plasma is a good marker of chronic renal failure and brain infarction. Thus, studies were carried out to determine which kinds of plasma proteins are conjugated with acrolein. It was found that acrolein was mainly conjugated with albumin. Tandem mass spectrometry analysis demonstrated that Lys-557 and Lys-560, located at the surface of domain III of albumin, were the major sites conjugated with acrolein. This is the first report to identify the am",Biochemical and biophysical research communications,"Madoka Yoshida, Kyohei Higashi, Lihua Jin, Yoshiki Machi, Takehiro Suzuki, Akiko Masuda, Naoshi Dohmae, Akiko Suganami, Yutaka Tamura, Kazuhiro Nishimura, Toshihiko Toida, Hideyuki Tomitori, Keiko Kashiwagi, Kazuei Igarashi"," Graduate School of Pharmaceutical Sciences, Chiba University, 1-8-1 Inohana, Chuo-ku, Chiba 260-8675, Japan.",2010 Jan;391(2):1234-9,10.1016/j.bbrc.2009.12.049
20034506,20100215,article,"xref,mesh","Acrolein,Animals,Apolipoproteins E,Dose-Response Relationship, Drug,Drug Administration Routes,Drug Administration Schedule,Dyslipidemias,Gene Expression Regulation,Lipase,Lipoproteins,Liver,Male,Mice,Mice, Inbred C57BL,Oxidative Stress,Rats,Rats, Sprague-Dawley","administration &amp; dosage,blood,chemically induced,drug effects,enzymology,genetics,metabolism,pharmacology,toxicity","D050171 Q000139 NY,D000171 Q000494 NN,D001057 Q000378 NN,D008099 Q000201 NN,D018384 Q000187 NN,D008074 Q000097 NY,D000171 Q000008 NN,D001057 Q000235 NN,D000171 Q000633 NY,D008049 Q000378 NN,D008099 Q000187 NN","588,5196,5997,7847,54603431","53790718,112379005,127719861,127788218,128056944,128121087",Acrolein consumption induces systemic dyslipidemia and lipoprotein modification.,"Aldehydes such as acrolein are ubiquitous pollutants present in automobile exhaust, cigarette, wood, and coal smoke. Such aldehydes are also constituents of several food substances and are present in drinking water, irrigation canals, and effluents from manufacturing plants. Oral intake represents the most significant source of exposure to acrolein and related aldehydes. To study the effects of short-term oral exposure to acrolein on lipoprotein levels and metabolism, adult mice were gavage-fed 0.1 to 5 mg ",Toxicology and applied pharmacology,"Daniel J Conklin, Oleg A Barski, Jean-Francois Lesgards, Peter Juvan, Tadeja Rezen, Damjana Rozman, Russell A Prough, Elena Vladykovskaya, SiQi Liu, Sanjay Srivastava, Aruni Bhatnagar"," Diabetes and Obesity Center, University of Louisville, Louisville, KY 40202, USA. dj.conklin@louisville.edu",2010 Feb;243(1):1-12,10.1016/j.taap.2009.12.010
22244891,20120203,article,"xref,mesh","Acrolein,Animals,Base Sequence,Cell Culture Techniques,Cell Line, Tumor,Cell Separation,Exons,Gene Expression Regulation, Enzymologic,Glutamate-Cysteine Ligase,Glutathione,Introns,JNK Mitogen-Activated Protein Kinases,Mice,Molecular Sequence Data,NF-kappa B,Oxidative Stress,Phosphorylation","antagonists &amp; inhibitors,biosynthesis,genetics,metabolism,toxicity","D005978 Q000096 NY,D005721 Q000235 NY,D016328 Q000378 NN,D000171 Q000633 NN,D000171 Q000378 NY,D000171 Q000037 NY,D048031 Q000378 NN","7847,33032,124886","128056944,129192846,129583715",Augmented glutathione synthesis decreases acrolein toxicity.,"We have shown recently that acrolein is more strongly involved in cell damage than reactive oxygen species during brain infarction. Thus, we tried to isolate cells with reduced susceptibility to acrolein toxicity to clarify how acrolein is detoxified under cell culture conditions. The IC(50) of acrolein in mouse mammary carcinoma FM3A cells and in neuroblastoma Neuro2a cells was 2.6 and 4.2μM, respectively, but in acrolein toxicity-decreasing FM3A (FM3A-ATD) cells and Neuro2a (Neuro2a-ATD) cells, it was 7.6",Biochemical and biophysical research communications,"Hideyuki Tomitori, Mizuho Nakamura, Akihiko Sakamoto, Yusuke Terui, Madoka Yoshida, Kazuei Igarashi, Keiko Kashiwagi"," Faculty of Pharmacy, Chiba Institute of Science, 15-8 Shiomi-cho, Choshi, Chiba 288-0025, Japan.",2012 Feb;418(1):110-5,10.1016/j.bbrc.2011.12.143
22716076,20120716,article,"xref,mesh","Acrolein,Antibodies, Monoclonal,Atherosclerosis,Glutathione,Humans,Immunohistochemistry,Lipoproteins, LDL,Lysine,Oxidation-Reduction,Protein Binding,Proteins","analogs &amp; derivatives,chemistry,immunology,metabolism,pathology","D050197 Q000473 NN,D050197 Q000378 NN,D008077 Q000737 NN,D008077 Q000378 NN,D008239 Q000031 NN,D000911 Q000276 NY,D050197 Q000276 NN,D011506 Q000378 NY,D011506 Q000276 NN,D008239 Q000737 NN,D011506 Q000737 NN,D005978 Q000378 NY,D000171 Q000737 NY,D008077 Q000276 NN","866,5962,7847,12047,69568,104152,124886,641599","128368393,128368395,129192846",Monoclonal antibody against protein-bound glutathione: use of glutathione conjugate of acrolein-modified proteins as an immunogen.,"Acrolein shows a facile reactivity with the ε-amino group of lysine to form N(ε)-(3-formyl-3,4-dehydropiperidino)lysine (FDP-lysine) as the major product. In addition, FDP-lysine generated in the acrolein-modified protein could function as an electrophile, reacting with thiol compounds, to form an irreversible thioether adduct. In the present study, to establish the utility of this irreversible conjugate, we attempted to use it as an immunogen to raise a monoclonal antibody (mAb), which specifically recogni",Chemical research in toxicology,"Atsunori Furuhata, Kazuya Honda, Takahiro Shibata, Miho Chikazawa, Yoshichika Kawai, Noriyuki Shibata, Koji Uchida"," Graduate School of Bioagricultural Sciences, Nagoya University, Nagoya 464-8601, Japan.",2012 Jul;25(7):1393-401,10.1021/tx300082u
22758635,20120701,review,"xref,mesh","Acrolein,Air Pollutants,Animals,Humans,Inflammation,Lung,Models, Biological,Pulmonary Disease, Chronic Obstructive,Tobacco Smoke Pollution","adverse effects,chemically induced,complications,cytology,drug effects,etiology,immunology,pharmacology,therapy,toxicity","D000393 Q000633 NN,D007249 Q000150 NN,D029424 Q000628 NN,D007249 Q000139 NN,D000393 Q000494 NN,D000171 Q000633 NN,D000171 Q000494 NY,D029424 Q000209 NY,D014028 Q000009 NN,D008168 Q000166 NN,D029424 Q000276 NN,D008168 Q000187 NY",7847,128056944,Acrolein effects in pulmonary cells: relevance to chronic obstructive pulmonary disease.,"Acrolein (2-propenal) is a highly reactive α,β-unsaturated aldehyde and a respiratory irritant that is ubiquitously present in the environment but that can also be generated endogenously at sites of inflammation. Acrolein is abundant in tobacco smoke, which is the major environmental risk factor for chronic obstructive pulmonary disease (COPD), and elevated levels of acrolein are found in the lung fluids of COPD patients. Its high electrophilicity makes acrolein notorious for its facile reaction with biolog",Annals of the New York Academy of Sciences,"Nadia Moretto, Giorgia Volpi, Fiorella Pastore, Fabrizio Facchinetti"," Department of Pharmacology, Chiesi Farmaceutici SpA, Parma, Italy.",2012 Jul;1259(?):39-46,10.1111/j.1749-6632.2012.06531.x
